date,PW,wnd_dir,wnd_spd
2010-01-02 00:00:00,92.67746448940422,SE,1.79
2010-01-02 01:00:00,39.06234555773555,SE,2.68
2010-01-02 02:00:00,4.290327441891528,SE,3.57
2010-01-02 03:00:00,89.39550388842312,SE,5.36
2010-01-02 04:00:00,17.042215955655525,SE,6.25
2010-01-02 05:00:00,37.61271918518104,SE,7.14
2010-01-02 06:00:00,73.60007837161461,SE,8.93
2010-01-02 07:00:00,83.93892052314901,SE,10.72
2010-01-02 08:00:00,53.63011285221402,SE,12.51
2010-01-02 09:00:00,28.994219204135877,SE,14.3
2010-01-02 10:00:00,11.672329591426433,SE,17.43
2010-01-02 11:00:00,22.635680058925967,SE,20.56
2010-01-02 12:00:00,24.92906790366272,SE,23.69
2010-01-02 13:00:00,92.5149041115086,SE,27.71
2010-01-02 14:00:00,25.100818286236485,SE,31.73
2010-01-02 15:00:00,84.57785066180273,SE,35.75
2010-01-02 16:00:00,34.19966321425267,SE,37.54
2010-01-02 17:00:00,89.67352984559284,SE,39.33
2010-01-02 18:00:00,11.536049192537934,SE,42.46
2010-01-02 19:00:00,64.23918477068108,SE,44.25
2010-01-02 20:00:00,33.14950899636185,SE,46.04
2010-01-02 21:00:00,34.01336031480121,SE,49.17
2010-01-02 22:00:00,93.46993837820992,SE,52.3
2010-01-02 23:00:00,15.224048007531389,SE,55.43
2010-01-03 00:00:00,58.10303847234349,SE,58.56
2010-01-03 01:00:00,61.995431185890034,SE,61.69
2010-01-03 02:00:00,15.69160540023694,SE,65.71
2010-01-03 03:00:00,65.11587565210519,SE,68.84
2010-01-03 04:00:00,88.04306961004825,SE,72.86
2010-01-03 05:00:00,92.99479382238265,SE,76.88
2010-01-03 06:00:00,78.70586872793099,SE,80.9
2010-01-03 07:00:00,10.51921109865549,SE,84.92
2010-01-03 08:00:00,13.433781130283913,SE,89.84
2010-01-03 09:00:00,31.648889411782747,SE,93.86
2010-01-03 10:00:00,56.65381670527295,SE,97.88
2010-01-03 11:00:00,8.777457180771876,SE,102.8
2010-01-03 12:00:00,8.374761528045738,SE,105.93
2010-01-03 13:00:00,75.86584667149322,SE,111.74
2010-01-03 14:00:00,43.39553204712805,SE,116.66
2010-01-03 15:00:00,68.71549955117956,SE,121.58
2010-01-03 16:00:00,81.90127488311154,SE,124.71
2010-01-03 17:00:00,45.472230189002154,SE,127.84
2010-01-03 18:00:00,41.58771494350384,cv,0.89
2010-01-03 19:00:00,41.535562838122296,cv,1.78
2010-01-03 20:00:00,37.607179197978,NW,4.02
2010-01-03 21:00:00,98.89510791889708,NW,7.15
2010-01-03 22:00:00,61.306001162588146,NW,11.17
2010-01-03 23:00:00,84.75315385275756,NW,14.3
2010-01-04 00:00:00,85.49039884013943,NW,16.09
2010-01-04 01:00:00,20.171121146969732,NW,21.9
2010-01-04 02:00:00,72.4862052883857,NW,29.95
2010-01-04 03:00:00,43.588374381434285,NW,39.78
2010-01-04 04:00:00,33.93327435492869,NW,48.72
2010-01-04 05:00:00,76.90412794177769,NW,55.87
2010-01-04 06:00:00,95.55457708871029,NW,64.81
2010-01-04 07:00:00,0.6544438607034464,NW,73.75
2010-01-04 08:00:00,36.18285317816253,NW,80.9
2010-01-04 09:00:00,28.322809683603378,NW,90.73
2010-01-04 10:00:00,27.73841124529647,NW,100.56
2010-01-04 11:00:00,87.00900450277395,NW,108.61
2010-01-04 12:00:00,48.98318211661028,NW,117.55
2010-01-04 13:00:00,68.45012651212885,NW,127.38
2010-01-04 14:00:00,98.73784450832386,NW,136.32
2010-01-04 15:00:00,82.19859896639595,NW,145.26
2010-01-04 16:00:00,18.760881233250227,NW,152.41
2010-01-04 17:00:00,50.64721902393399,NW,159.56
2010-01-04 18:00:00,26.234378636726074,NW,165.37
2010-01-04 19:00:00,56.55465226288088,NW,171.18
2010-01-04 20:00:00,64.58535754353144,NW,180.12
2010-01-04 21:00:00,94.1881533457722,NW,187.27
2010-01-04 22:00:00,68.91043389940471,NW,195.32
2010-01-04 23:00:00,11.479898352417614,NW,198.45
2010-01-05 00:00:00,29.979475953303112,NW,201.58
2010-01-05 01:00:00,65.13168193375404,NW,205.6
2010-01-05 02:00:00,29.00376005171247,NW,208.73
2010-01-05 03:00:00,88.60311533755613,NW,213.65
2010-01-05 04:00:00,60.66647961420134,NW,218.57
2010-01-05 05:00:00,42.16534725959155,NE,4.92
2010-01-05 06:00:00,10.514466706958213,NE,8.05
2010-01-05 07:00:00,31.179650610039502,NE,13.86
2010-01-05 08:00:00,34.11605151496061,NE,18.78
2010-01-05 09:00:00,8.546826079595826,NE,24.59
2010-01-05 10:00:00,38.497210053281094,NE,29.51
2010-01-05 11:00:00,5.973210765071991,NE,34.43
2010-01-05 12:00:00,89.19902321693998,NE,39.35
2010-01-05 13:00:00,74.58411851642613,NE,41.14
2010-01-05 14:00:00,68.87374592899754,cv,0.89
2010-01-05 15:00:00,27.964939124940273,NW,1.79
2010-01-05 16:00:00,30.72023184510684,NW,3.58
2010-01-05 17:00:00,87.77273606070446,NW,5.37
2010-01-05 18:00:00,15.32194977125364,NW,7.16
2010-01-05 19:00:00,95.8642467797175,NW,10.29
2010-01-05 20:00:00,17.119187772792255,NW,13.42
2010-01-05 21:00:00,88.85490716062436,NW,16.55
2010-01-05 22:00:00,76.27559906511844,NW,20.57
